Atom 1,Atom 2,Atom 3,Atom 4,Kchi,Multiplicity (n),Delta,Comments,Line Number
NY,CA,CY,HP,3.5,2.0,180.0,['JWK indole 05/14/91'],1675
NY,CPT,CA,CA,3.0,2.0,180.0,"['atm, methylindole, 1/17/04, r6r5']",1676
NY,CPT,CA,HP,3.0,2.0,180.0,"['JWK 05/14/91 fit to indole, r6r5']",1677
NY,CPT,CPT,CA,4.0,2.0,180.0,"['atm, methylindole, 1/17/04, bfly']",1678
NY,CPT,CAI,CA,3.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1679
NY,CPT,CAI,HP,3.0,2.0,180.0,"['JWK 05/14/91 fit to indole, r6r5']",1680
NY,CPT,CPT,CAI,4.0,2.0,180.0,"['atm, methylindole, 1/17/04, bfly']",1681
NY,CPT,CPT,CY,6.5,2.0,180.0,"['JWK 05/14/91 fit to indole,  r5 t1']",1682
CT3,CT2,CY,CA,0.38,2.0,0.0,"['trp, from ethylbenzene, adm jr., 3/7/92']",1683
CT3,CT2,CY,CPT,0.25,2.0,180.0,['atm 1/14/04 3-ethylindole'],1684
CT3,CT2,CY,CPT,0.3,3.0,0.0,['atm 1/14/04 3-ethylindole'],1685
HA3,CT3,CY,CA,0.01,3.0,0.0,"['atm, methylindole, 1/17/04']",1686
HA3,CT3,CY,CPT,0.2,3.0,0.0,"['atm, methylindole, 1/17/04']",1687
HA2,CT2,CY,CA,0.01,3.0,0.0,"['atm, methylindole, 1/17/04']",1688
HA2,CT2,CY,CPT,0.2,3.0,0.0,"['atm, methylindole, 1/17/04']",1689
X,CS,SS,X,0.0,3.0,0.2,"['guess', 'from methanethiol, HS S CT3 HA', 'adm jr., 7/01']",1690
C,CT1,NH1,C,0.2,1.0,180.0,"['ALLOW PEP', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93c']",1693
C,CT2,NH1,C,0.2,1.0,180.0,"['ALLOW PEP', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93c']",1695
C,N,CP1,C,0.8,3.0,0.0,"['ALLOW PRO PEP', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1697
CA,CA,CA,CA,3.1,2.0,180.0,"['ALLOW   ARO', 'JES 8/25/89', 'CA   CT2  CT1  C        0.0400  3     0.00 ! ALLOW   ARO', '2.7 kcal/mole CH3 rot in ethylbenzene, adm jr, 3/7/92']",1699
CC,CP1,N,C,0.8,3.0,0.0,"['ALLOW PRO PEP', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1703
CC,CT1,CT2,CA,0.04,3.0,0.0,"['ALLOW   ARO', '2.7 kcal/mole CH3 rot in ethylbenzene, adm jr, 3/7/92']",1705
CC,CT1,NH1,C,0.2,1.0,180.0,"['ALLOW PEP POL', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93c', 'CC   CT2  NH1  C        0.2000  1   180.00 ! ALLOW PEP POL', '! Alanine dipeptide; NMA; acetate; etc. adm jr., 3/3/93c']",1707
CC,CT2,NH1,C,2.0,1.0,180.0,"['ALLOW PEP POL', 'Based on Gly3 data from graf et al, RB 7/1/11']",1711
CD,CP1,N,C,0.0,1.0,180.0,"['ALLOW PRO PEP', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1713
CD,CT1,NH1,C,0.2,1.0,180.0,"['ALLOW PEP POL', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93c', 'CD   CT2  NH1  C        0.2000  1   180.00 ! ALLOW PEP POL', '! Alanine dipeptide; NMA; acetate; etc. backbon adm jr., 3/3/93c']",1715
CD,CT2,NH1,C,2.0,1.0,180.0,"['ALLOW PEP POL', 'Based on Gly3 data from graf et al, RB 7/1/11']",1719
CE1,CE1,CT3,HA3,0.03,3.0,0.0,"['for butene, yin/adm jr., 12/95']",1721
CE2,CE1,CT2,CT3,0.5,1.0,180.0,"['1-butene, adm jr., 2/00 update']",1723
CE2,CE1,CT2,CT3,1.3,3.0,180.0,"['1-butene, adm jr., 2/00 update']",1725
CE2,CE1,CT2,HA2,0.12,3.0,0.0,"['for butene, yin/adm jr., 12/95']",1727
CE2,CE1,CT3,HA3,0.05,3.0,180.0,"['for propene, yin/adm jr., 12/95']",1729
HA,CT2,CT2,OPE,0.19,3.0,0.0,"['alkane,4/98, yin and mackerell', 'Moved from par_all35ethers by Sam <- name for search reference no credit']",1731
HA,CT2,OPE,CT2,0.284,3.0,0.0,"['DEET, diethylether, alex', 'Moved from par_all35ethers by Sam <- name for search reference no credit']",1733
C,CT2,OPE,CT2,0.57,1.0,0.0,"['Assumed to be the same as CT2 OPE CT2 CT2', 'Added by Sam no credit']",1735
C,CT2,OPE,CT2,0.29,2.0,0.0,"['Assumed to be the same as CT2 OPE CT2 CT2', 'Added by Sam no credit']",1737
C,CT2,OPE,CT2,0.43,3.0,0.0,"['Assumed to be the same as CT2 OPE CT2 CT2', 'Added by Sam No credit']",1739
CT2,CT2,OPE,CT2,0.57,1.0,0.0,"['1,2 Dimethoxyethane from all35_ethers', 'Added by Sam no credit']",1741
CT2,CT2,OPE,CT2,0.29,2.0,0.0,"['1,2 Dimethoxyethane from all35_ethers', 'Added by Sam no credit']",1743
CT2,CT2,OPE,CT2,0.43,3.0,0.0,"['1,2 Dimethoxyethane from all35_ethers', 'Added by Sam No credit']",1745
CT1,CT1,OPE,CT1,0.2,3.0,0.0,"['Added by sam no credit', 'Taken from all36carb CC3161 CC3162 OC3C61 CC3163']",1747
CT1,OPE,CT1,OH1,0.89,2.0,0.0,"['Added by sam no credit', '36carb OC311 CC301 OC301 CC331 = CC3163 OC3C61 CC3162 OC311']",1749
HA,CT1,OPE,CT1,0.284,3.0,0.0,"['Added by sam no credit', '36 carb HCA1 C3163 OC3C61 CC3162']",1751
CT2,CT1,OPE,CT1,0.2,3.0,0.0,"['added by sam no credit', 'carb36 all CC321 CC3163 OC3C61 CC3162']",1753
OPE,CT2,CT2,OPE,0.59,1.0,180.0,"['1,2 Dimethoxyethane from all35_ethers', 'Added by Sam no credit']",1755
OPE,CT2,CT2,OPE,1.16,2.0,0.0,"['1,2 Dimethoxyethane from all35_ethers', 'Added by Sam no credit']",1757
SS,CS,CT2,CT2,0.14975,3.0,180.0,"['Added from LM modified all36cgenff', 'Moved by Sam no credit SG302 CG323 CG321 CG321']",1759
CP1,C,N,CP1,2.75,2.0,180.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1761
CP1,C,N,CP1,0.3,4.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1763
CP2,CP1,N,C,0.8,3.0,0.0,"['ALLOW PRO PEP', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1765
CP2,CP3,N,C,0.0,3.0,180.0,"['ALLOW PRO PEP', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1767
CP2,CP3,N,CP1,0.1,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1769
CP2,CP3,NP,CP1,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1771
CP3,N,C,CP1,2.75,2.0,180.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1773
CP3,N,C,CP1,0.3,4.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1775
CP3,N,CP1,C,0.1,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1777
CP3,N,CP1,CC,0.1,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1779
CP3,N,CP1,CP2,0.1,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1781
CP3,NP,CP1,C,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1783
CP3,NP,CP1,CC,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1785
CP3,NP,CP1,CD,0.08,3.0,0.0,"['ALLOW PRO PEP', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1787
CP3,NP,CP1,CP2,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1789
CPH2,NR1,CPH1,CPH1,14.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/20/89']",1791
CPH2,NR2,CPH1,CPH1,14.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/20/89']",1793
CPH2,NR3,CPH1,CPH1,12.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/20/89']",1795
CT1,C,N,CP1,2.75,2.0,180.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1797
CT1,C,N,CP1,0.3,4.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1799
CT1,C,N,CP3,2.75,2.0,180.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1801
CT1,C,N,CP3,0.3,4.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1803
CT1,C,NH1,CT1,1.6,1.0,0.0,"['ALLOW PEP', 'Revised to adjust NMA cis/trans energy difference. (LK)']",1805
CT1,C,NH1,CT1,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1807
CT1,CT1,NH1,C,1.8,1.0,0.0,"['ALLOW PEP', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93c']",1809
CT1,NH1,C,CP1,1.6,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1811
CT1,NH1,C,CP1,2.5,2.0,180.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1813
CT2,C,N,CP1,2.75,2.0,180.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1815
CT2,C,N,CP1,0.3,4.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1817
CT2,C,N,CP3,2.75,2.0,180.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1819
CT2,C,N,CP3,0.3,4.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1821
CT2,C,NH1,CT1,1.6,1.0,0.0,"['ALLOW PEP', 'Revised to adjust NMA cis/trans energy difference. (LK)']",1823
CT2,C,NH1,CT1,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1825
CT2,C,NH1,CT2,1.6,1.0,0.0,"['ALLOW PEP', 'Revised to adjust NMA cis/trans energy difference. (LK)']",1827
CT2,C,NH1,CT2,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1829
CT2,C,NH1,CT3,1.6,1.0,0.0,"['ALLOW PEP', 'from CT2  C    NH1  CT2, adm jr. 10/21/96']",1831
CT2,C,NH1,CT3,2.5,2.0,180.0,"['ALLOW PEP', 'from CT2  C    NH1  CT2, adm jr. 10/21/96']",1833
CT2,CA,CA,CA,3.1,2.0,180.0,"['ALLOW   ARO', 'JES 8/25/89 toluene and ethylbenzene']",1835
CT2,CPH1,NR1,CPH2,3.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/22/89, FROM HA CPH1 NR1 CPH2']",1837
CT2,CPH1,NR2,CPH2,3.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/22/89, FROM HA CPH1 NR2 CPH2']",1839
CT2,CPH1,NR3,CPH2,2.5,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",1841
CT2,CT1,NH1,C,1.8,1.0,0.0,"['ALLOW PEP', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93c']",1843
CT2,CT2,CPH1,CPH1,0.4,1.0,0.0,"['ALLOW ARO', '4-methylimidazole 4-21G//6-31G* rot bar. ADM JR., 9/4/89', 'aliphatic chain parameters compatible with the revised side-chain parameters, from all22_carb>>all27_lip>>all31', 'lower butane gauche conformer']",1845
CT2,CT2,CT2,CT2,0.1,2.0,180.0,"['alkane, 4/98, adm jr.']",1849
CT2,CT2,CT2,CT2,0.15,4.0,0.0,"['alkane, 4/98, adm jr.']",1850
CT2,CT2,CT2,CT2,0.1,6.0,180.0,"['alkane, 4/98, adm jr.']",1851
CT2,CT2,CT2,CT3,0.1,2.0,180.0,"['alkane, 4/98, adm jr.']",1852
CT2,CT2,CT2,CT3,0.15,4.0,0.0,"['alkane, 4/98, adm jr.']",1853
CT2,CT2,CT2,CT3,0.1,6.0,180.0,"['alkane, 4/98, adm jr.', '']",1854
CT2,CT2,NH1,C,1.8,1.0,0.0,"['ALLOW PEP', 'from CT2  CT1  NH1  C, for lactams, adm jr.']",1856
CT2,NH1,C,CP1,1.6,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1858
CT2,NH1,C,CP1,2.5,2.0,180.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1860
CT2,NH1,C,CT1,1.6,1.0,0.0,"['ALLOW PEP', 'Revised to adjust NMA cis/trans energy difference. (LK)']",1862
CT2,NH1,C,CT1,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1864
CT2,SM,SM,CT2,1.0,1.0,0.0,"['ALLOW   ALI SUL ION', 'improved CSSC dihedral in DMDS  5/15/92 (FL)']",1866
CT2,SM,SM,CT2,4.1,2.0,0.0,"['ALLOW   ALI SUL ION', 'mp 6-311G** dimethyldisulfide,  3/26/92 (FL)']",1868
CT2,SM,SM,CT2,0.9,3.0,0.0,"['ALLOW   ALI SUL ION', 'improved CSSC dihedral in DMDS  5/15/92 (FL)']",1870
CT3,C,N,CP1,2.75,2.0,180.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1872
CT3,C,N,CP1,0.3,4.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1874
CT3,C,N,CP3,2.75,2.0,180.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1876
CT3,C,N,CP3,0.3,4.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1878
CT3,C,NH1,CT1,1.6,1.0,0.0,"['ALLOW PEP', 'Revised to adjust NMA cis/trans energy difference. (LK)']",1880
CT3,C,NH1,CT1,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1882
CT3,C,NH1,CT2,1.6,1.0,0.0,"['ALLOW PEP', 'for acetylated GLY N-terminus, adm jr.']",1884
CT3,C,NH1,CT2,2.5,2.0,180.0,"['ALLOW PEP', 'for acetylated GLY N-terminus, adm jr.']",1886
CT3,C,NH1,CT3,1.6,1.0,0.0,"['ALLOW PEP', 'Revised to adjust NMA cis/trans energy difference. (LK)']",1888
CT3,C,NH1,CT3,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1890
CT3,CA,CA,CA,3.1,2.0,180.0,"['ALLOW   ARO', 'toluene, adm jr., 3/7/92']",1892
CT3,CE1,CE2,HE2,5.2,2.0,180.0,"['for propene, yin/adm jr., 12/95']",1894
CT3,CPH1,NR1,CPH2,3.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/22/89, FROM HA CPH1 NR1 CPH2']",1896
CT3,CT1,NH1,C,1.8,1.0,0.0,"['ALLOW PEP', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93c']",1898
CT3,CT2,CA,CA,0.23,2.0,180.0,"['ALLOW   ARO ALI', 'ethylbenzene ethyl rotation, adm jr. 3/7/92']",1900
CT3,CT2,CPH1,CPH1,0.2,1.0,0.0,"['ALLOW ARO', '4-ethylimidazole 4-21G rot bar, adm jr. 3/4/92']",1902
CT3,CT2,CPH1,CPH1,0.27,2.0,0.0,"['ALLOW ARO', '4-ethylimidazole 4-21G rot bar, adm jr. 3/4/92']",1904
CT3,CT2,CPH1,CPH1,0.0,3.0,0.0,"['ALLOW ARO', '4-ethylimidazole 4-21G rot bar, adm jr. 3/4/92']",1906
CT3,CT2,S,CT3,0.24,1.0,180.0,"['ALOW    ALI SUL ION', 'expt. MeEtS,      3/26/92 (FL)']",1908
CT3,CT2,S,CT3,0.37,3.0,0.0,"['ALOW    ALI SUL ION', 'DTN 8/24/90']",1910
CT3,NH1,C,CP1,1.6,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1912
CT3,NH1,C,CP1,2.5,2.0,180.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1914
CT3,NH1,C,CT1,1.6,1.0,0.0,"['ALLOW PEP', 'Revised to adjust NMA cis/trans energy difference. (LK)']",1916
CT3,NH1,C,CT1,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1918
CT3,S,CT2,CT2,0.24,1.0,180.0,"['ALOW    ALI SUL ION', 'expt. MeEtS,      3/26/92 (FL)']",1920
CT3,S,CT2,CT2,0.37,3.0,0.0,"['ALOW    ALI SUL ION', 'expt. MeEtS,      3/26/92 (FL)']",1922
CT3,SM,SM,CT3,1.0,1.0,0.0,"['ALLOW   ALI SUL ION', 'improved CSSC dihedral in DMDS  5/15/92 (FL)']",1924
CT3,SM,SM,CT3,4.1,2.0,0.0,"['ALLOW   ALI SUL ION', 'mp 6-311G** dimethyldisulfide,   3/26/92 (FL)']",1926
CT3,SM,SM,CT3,0.9,3.0,0.0,"['ALLOW   ALI SUL ION', 'improved CSSC dihedral in DMDS  5/15/92 (FL)']",1928
ARC2,ARC2,CG33,HGA3,0.0,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1930
CG32,CG32,CG33,HGA3,0.16,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1932
CG33,CG32,CG33,HGA3,0.16,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1934
HGA3,CG33,CG33,HGA3,0.155,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1936
HGA2,ARC2,ARC2,HGA2,0.19,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1938
ARC2,ARC2,ARC2,HGA2,0.19,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1940
HGA2,CG32,CG33,HGA3,0.16,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1942
HGA2,CG32,CG32,HGA2,0.22,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1944
CG33,CG32,CG32,HGA2,0.18,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1946
CG32,CG32,CG32,HGA2,0.195,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1948
CG33,CG32,CG32,CG33,0.03819,2.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1950
CG32,CG32,CG32,CG33,0.15051,2.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1952
CG32,CG32,CG32,CG33,0.08133,3.0,180.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1954
CG32,CG32,CG32,CG33,0.10824,4.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1956
CG32,CG32,CG32,CG33,0.20391,5.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1958
CG32,CG32,CG32,CG32,0.0645,2.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1960
CG32,CG32,CG32,CG32,0.14975,3.0,180.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1962
CG32,CG32,CG32,CG32,0.09458,4.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1964
CG32,CG32,CG32,CG32,0.11251,5.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1966
H,NH1,C,CP1,2.5,2.0,180.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1968
H,NH1,C,CT1,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1970
H,NH1,C,CT2,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1972
H,NH1,C,CT3,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1974
